"Date","Price","Open","High","Low","Vol.","Change %"
"May 18, 2011","1,375.88","1,343.13","1,387.5","1,342.38","-","2.48%"
"May 19, 2011","1,377.75","1,376","1,388.88","1,369.38","-","0.14%"
"May 20, 2011","1,378.88","1,378.63","1,395.88","1,365.25","-","0.08%"
"May 22, 2011","1,389.63","1,386","1,389.63","1,382.5","-","0.78%"
"May 23, 2011","1,373.38","1,389.63","1,392.88","1,366.13","-","-1.17%"
"May 24, 2011","1,376.88","1,373.5","1,386.75","1,366.25","-","0.25%"
"May 25, 2011","1,379.5","1,377","1,386.88","1,372.63","-","0.19%"
"May 26, 2011","1,390.63","1,380.25","1,398.13","1,380.13","-","0.81%"
"May 27, 2011","1,378.63","1,390.75","1,394.13","1,376.38","-","-0.86%"
"May 30, 2011","1,379.13","1,370.63","1,379.13","1,366.63","-","0.04%"
"May 31, 2011","1,382.38","1,378.63","1,391.13","1,373.75","-","0.24%"
"Jun 01, 2011","1,385.13","1,384.13","1,389.88","1,370.13","-","0.20%"
"Jun 02, 2011","1,406","1,385.25","1,411.38","1,385.13","-","1.51%"
"Jun 03, 2011","1,413.88","1,405.75","1,419.38","1,404.63","-","0.56%"
"Jun 05, 2011","1,413.63","1,415.5","1,416.5","1,412.63","-","-0.02%"
"Jun 06, 2011","1,384.13","1,413.5","1,418.13","1,380.88","-","-2.09%"
"Jun 07, 2011","1,396.38","1,384.38","1,398.5","1,382.38","-","0.89%"
"Jun 08, 2011","1,403","1,397.88","1,417","1,385.13","-","0.47%"
"Jun 09, 2011","1,396.38","1,403.63","1,412.63","1,386.25","-","-0.47%"
"Jun 10, 2011","1,383.13","1,397.13","1,397.38","1,377.63","-","-0.95%"
"Jun 12, 2011","1,385.38","1,385.5","1,387.88","1,384.38","-","0.16%"
"Jun 13, 2011","1,382","1,385.25","1,390.38","1,378.63","-","-0.24%"
"Jun 14, 2011","1,368.75","1,381.88","1,386.88","1,353.75","-","-0.96%"
"Jun 15, 2011","1,370.75","1,368.88","1,375.25","1,354.63","-","0.15%"
"Jun 16, 2011","1,351.25","1,370.88","1,371.13","1,348.5","-","-1.42%"
"Jun 17, 2011","1,331.75","1,351.13","1,357.13","1,330.63","-","-1.44%"
"Jun 19, 2011","1,334.25","1,334.88","1,337.88","1,332","-","0.19%"
"Jun 20, 2011","1,339.63","1,333.5","1,345.88","1,331.88","-","0.40%"
"Jun 21, 2011","1,350.75","1,339.5","1,354.5","1,338.88","-","0.83%"
"Jun 22, 2011","1,329.38","1,351.25","1,351.75","1,320.63","-","-1.58%"
"Jun 23, 2011","1,318.88","1,329.13","1,333.25","1,293.38","-","-0.79%"
"Jun 24, 2011","1,318.38","1,319.38","1,328.75","1,311.75","-","-0.04%"
"Jun 26, 2011","1,312","1,313.63","1,313.88","1,309.75","-","-0.48%"
"Jun 27, 2011","1,325.75","1,311","1,329.13","1,303.63","-","1.05%"
"Jun 28, 2011","1,331.38","1,325.63","1,337.38","1,321.5","-","0.42%"
"Jun 29, 2011","1,326.88","1,332.88","1,343.38","1,320.5","-","-0.34%"
"Jun 30, 2011","1,303.75","1,326.63","1,335.25","1,287.63","-","-1.74%"
"Jul 01, 2011","1,315.13","1,303.63","1,321.13","1,299.75","-","0.87%"
"Jul 04, 2011","1,318.63","1,314.75","1,322.88","1,314.75","-","0.27%"
"Jul 05, 2011","1,321.5","1,319.38","1,329.25","1,312","-","0.22%"
"Jul 06, 2011","1,322.88","1,321.38","1,326.88","1,310.5","-","0.10%"
"Jul 07, 2011","1,341.88","1,322.13","1,343.75","1,321.63","-","1.44%"
"Jul 08, 2011","1,346","1,342.38","1,350.25","1,335.88","-","0.31%"
"Jul 10, 2011","1,352.38","1,350.75","1,356.63","1,350.75","-","0.47%"
"Jul 11, 2011","1,347.25","1,351.38","1,352.25","1,338.13","-","-0.38%"
"Jul 12, 2011","1,354.25","1,346.38","1,362.75","1,334.88","-","0.52%"
"Jul 13, 2011","1,376.5","1,354","1,382.25","1,353.75","-","1.64%"
"Jul 14, 2011","1,379.88","1,376.63","1,386.88","1,373.75","-","0.25%"
"Jul 15, 2011","1,386.63","1,380","1,396.75","1,376.75","-","0.49%"
"Jul 17, 2011","1,379.5","1,385.88","1,388.88","1,379.5","-","-0.51%"
"Jul 18, 2011","1,387","1,380.38","1,391.63","1,369.88","-","0.54%"
"Jul 19, 2011","1,386.5","1,387.13","1,407.88","1,375.5","-","-0.04%"
"Jul 20, 2011","1,373.38","1,384.75","1,390.75","1,371.13","-","-0.95%"
"Jul 21, 2011","1,380.13","1,373.13","1,386.5","1,369.75","-","0.49%"
"Jul 22, 2011","1,377.88","1,379.75","1,388.25","1,374.75","-","-0.16%"
"Jul 24, 2011","1,372.5","1,372.13","1,372.88","1,365.25","-","-0.39%"
"Jul 25, 2011","1,364.63","1,371.63","1,373.13","1,351.5","-","-0.57%"
"Jul 26, 2011","1,382.38","1,364.88","1,382.38","1,363","-","1.30%"
"Jul 27, 2011","1,368.88","1,381.75","1,386.38","1,366","-","-0.98%"
"Jul 28, 2011","1,361.38","1,367.88","1,376.38","1,359.25","-","-0.55%"
"Jul 29, 2011","1,346.25","1,361.5","1,368.75","1,343.63","-","-1.11%"
